Primary Type,Description,Arrest,Beat,Community Area,,
OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,FALSE,1623,15,,
THEFT,FROM BUILDING,FALSE,1913,3,,
BATTERY,SIMPLE,FALSE,1533,25,,
THEFT,FROM BUILDING,FALSE,112,32,,
BATTERY,SIMPLE,FALSE,932,61,,
BATTERY,SIMPLE,FALSE,715,67,,
OFFENSE INVOLVING CHILDREN,CHILD ABUSE,FALSE,1522,25,,
BURGLARY,FORCIBLE ENTRY,FALSE,823,66,,
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,FALSE,814,56,,
THEFT,RETAIL THEFT,TRUE,2413,2,,
THEFT,OVER $500,FALSE,2521,19,,
THEFT,OVER $500,FALSE,1651,76,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1631,17,,
THEFT,$500 AND UNDER,FALSE,324,43,,
BATTERY,SIMPLE,FALSE,711,68,,
BATTERY,SIMPLE,FALSE,412,48,,
BURGLARY,UNLAWFUL ENTRY,FALSE,311,40,,
DECEPTIVE PRACTICE,CREDIT CARD FRAUD,FALSE,2232,73,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,713,67,,
ASSAULT,SIMPLE,FALSE,1731,16,,
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,FALSE,614,71,,
CRIM SEXUAL ASSAULT,NON-AGGRAVATED,FALSE,1533,25,,
ROBBERY,STRONGARM - NO WEAPON,FALSE,113,32,,
CRIMINAL TRESPASS,TO LAND,TRUE,524,53,,
BATTERY,PRO EMP HANDS NO/MIN INJURY,TRUE,726,67,,
OTHER OFFENSE,HARASSMENT BY TELEPHONE,FALSE,333,43,,
THEFT,FROM BUILDING,FALSE,111,32,,
OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,FALSE,1821,8,,
CRIMINAL TRESPASS,TO VEHICLE,TRUE,2222,71,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,113,32,,
THEFT,RETAIL THEFT,TRUE,821,63,,
NARCOTICS,POSS: CRACK,TRUE,2535,22,,
DECEPTIVE PRACTICE,CREDIT CARD FRAUD,FALSE,1834,8,,
ASSAULT,SIMPLE,FALSE,2524,20,,
NARCOTICS,FOUND SUSPECT NARCOTICS,TRUE,835,70,,
INTIMIDATION,INTIMIDATION,FALSE,312,69,,
BATTERY,SIMPLE,FALSE,2212,75,,
OTHER OFFENSE,HARASSMENT BY TELEPHONE,FALSE,1132,26,,
OTHER OFFENSE,HARASSMENT BY TELEPHONE,FALSE,813,62,,
DECEPTIVE PRACTICE,CREDIT CARD FRAUD,FALSE,112,32,,
THEFT,RETAIL THEFT,TRUE,2413,2,,
BATTERY,PRO EMP HANDS NO/MIN INJURY,FALSE,915,60,,
BURGLARY,UNLAWFUL ENTRY,FALSE,1724,16,,
CRIMINAL DAMAGE,TO STATE SUP PROP,FALSE,1014,29,,
THEFT,OVER $500,FALSE,414,46,,
THEFT,OVER $500,FALSE,531,49,,
OTHER OFFENSE,TELEPHONE THREAT,FALSE,934,61,,
THEFT,FROM BUILDING,FALSE,823,65,,
OTHER OFFENSE,TELEPHONE THREAT,FALSE,1523,25,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,1732,16,,
OTHER OFFENSE,PAROLE VIOLATION,TRUE,933,61,,
CRIMINAL TRESPASS,TO LAND,TRUE,2031,4,,
THEFT,FROM BUILDING,FALSE,2431,1,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,1234,31,,
THEFT,FROM BUILDING,FALSE,1834,8,,
THEFT,FROM BUILDING,FALSE,114,32,,
DECEPTIVE PRACTICE,CREDIT CARD FRAUD,FALSE,1834,8,,
DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TRUE,1925,6,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,511,49,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,2411,2,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,231,40,,
OTHER OFFENSE,HARASSMENT BY TELEPHONE,FALSE,2524,22,,
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,TRUE,825,66,,
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,TRUE,733,68,,
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,FALSE,131,33,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,1115,26,,
BURGLARY,FORCIBLE ENTRY,FALSE,1921,5,,
THEFT,POCKET-PICKING,FALSE,1834,8,,
BATTERY,SIMPLE,TRUE,512,50,,
ASSAULT,PRO EMP HANDS NO/MIN INJURY,FALSE,825,66,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,1112,23,,
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,TRUE,512,50,,
THEFT,$500 AND UNDER,FALSE,1223,28,,
DECEPTIVE PRACTICE,BOGUS CHECK,FALSE,834,70,,
BATTERY,SIMPLE,FALSE,825,66,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,735,67,,
BATTERY,DOMESTIC BATTERY SIMPLE,TRUE,411,45,,
PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,TRUE,1134,29,,
PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,TRUE,821,57,,
SEX OFFENSE,CRIMINAL SEXUAL ABUSE,FALSE,2413,2,,
BATTERY,AGG PRO EMP HANDS SERIOUS INJ,TRUE,621,71,,
DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,FALSE,513,50,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,2514,19,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1614,76,,
ROBBERY,STRONGARM - NO WEAPON,FALSE,833,65,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,531,49,,
OTHER OFFENSE,TELEPHONE THREAT,FALSE,2212,75,,
THEFT,$500 AND UNDER,FALSE,112,32,,
BURGLARY,FORCIBLE ENTRY,FALSE,922,58,,
ROBBERY,STRONGARM - NO WEAPON,FALSE,111,32,,
BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,TRUE,621,71,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1722,16,,
THEFT,$500 AND UNDER,FALSE,1731,16,,
ASSAULT,SIMPLE,FALSE,222,39,,
BURGLARY,FORCIBLE ENTRY,TRUE,2234,75,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,1134,27,,
THEFT,$500 AND UNDER,FALSE,1712,14,,
BATTERY,PRO EMP HANDS NO/MIN INJURY,TRUE,2533,25,,
BATTERY,SIMPLE,FALSE,2211,74,,
BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,FALSE,1013,29,,
OTHER OFFENSE,OTHER CRIME AGAINST PERSON,FALSE,2211,74,,
BATTERY,SIMPLE,FALSE,2211,74,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,1814,7,,
DECEPTIVE PRACTICE,CREDIT CARD FRAUD,FALSE,533,54,,
THEFT,FROM BUILDING,FALSE,2523,20,,
BURGLARY,FORCIBLE ENTRY,FALSE,321,42,,
OTHER OFFENSE,TELEPHONE THREAT,FALSE,1833,8,,
THEFT,$500 AND UNDER,FALSE,2222,73,,
ASSAULT,SIMPLE,FALSE,913,60,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,411,43,,
OTHER OFFENSE,HARASSMENT BY TELEPHONE,FALSE,322,69,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,2412,2,,
ASSAULT,AGGRAVATED: HANDGUN,FALSE,924,61,,
NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,TRUE,522,49,,
THEFT,RETAIL THEFT,TRUE,2533,25,,
BATTERY,SIMPLE,FALSE,1132,29,,
THEFT,$500 AND UNDER,FALSE,132,33,,
BURGLARY,UNLAWFUL ENTRY,FALSE,1511,25,,
THEFT,FROM BUILDING,FALSE,112,32,,
BATTERY,SIMPLE,TRUE,621,71,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,724,67,,
ASSAULT,SIMPLE,FALSE,334,43,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,111,32,,
NARCOTICS,FOUND SUSPECT NARCOTICS,TRUE,1024,29,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,414,46,,
THEFT,RETAIL THEFT,FALSE,1234,31,,
THEFT,FROM BUILDING,FALSE,1822,8,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,512,49,,
DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,FALSE,1212,24,,
THEFT,$500 AND UNDER,FALSE,1731,16,,
THEFT,FROM BUILDING,FALSE,1224,28,,
THEFT,OVER $500,FALSE,1612,10,,
BATTERY,SIMPLE,FALSE,1023,29,,
THEFT,OVER $500,FALSE,1913,3,,
NARCOTICS,POSS: SYNTHETIC DRUGS,TRUE,511,49,,
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,FALSE,623,69,,
THEFT,RETAIL THEFT,FALSE,1914,3,,
BURGLARY,UNLAWFUL ENTRY,FALSE,932,61,,
MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",FALSE,2521,19,,
THEFT,OVER $500,FALSE,222,39,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,1733,21,,
OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,FALSE,1133,27,,
OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,FALSE,2534,23,,
ASSAULT,SIMPLE,FALSE,1812,7,,
ROBBERY,ARMED: HANDGUN,FALSE,1222,27,,
DECEPTIVE PRACTICE,CREDIT CARD FRAUD,FALSE,2413,2,,
CRIMINAL TRESPASS,TO LAND,TRUE,1011,29,,
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,FALSE,111,32,,
BURGLARY,HOME INVASION,FALSE,822,65,,
PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,TRUE,1131,26,,
ASSAULT,SIMPLE,FALSE,934,61,,
BURGLARY,FORCIBLE ENTRY,FALSE,411,43,,
BURGLARY,FORCIBLE ENTRY,FALSE,411,43,,
BURGLARY,FORCIBLE ENTRY,FALSE,411,43,,
BURGLARY,FORCIBLE ENTRY,FALSE,411,43,,
NARCOTICS,FOUND SUSPECT NARCOTICS,TRUE,1532,25,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,1234,31,,
BATTERY,SIMPLE,FALSE,1614,76,,
CRIMINAL TRESPASS,TO LAND,TRUE,131,33,,
CRIMINAL TRESPASS,TO LAND,TRUE,1914,3,,
NARCOTICS,FOUND SUSPECT NARCOTICS,TRUE,621,71,,
ASSAULT,AGGRAVATED: OTHER FIREARM,FALSE,1135,27,,
BATTERY,AGG PO HANDS NO/MIN INJURY,TRUE,512,50,,
THEFT,RETAIL THEFT,FALSE,323,69,,
OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,FALSE,932,61,,
NARCOTICS,POSS: HEROIN(WHITE),TRUE,1012,29,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,1112,23,,
MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",FALSE,1411,21,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,1123,27,,
CRIMINAL TRESPASS,TO LAND,TRUE,2033,3,,
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,FALSE,1533,25,,
ASSAULT,SIMPLE,FALSE,613,71,,
OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,FALSE,524,53,,
OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,FALSE,1814,7,,
BURGLARY,FORCIBLE ENTRY,FALSE,726,67,,
THEFT,$500 AND UNDER,FALSE,731,69,,
BATTERY,DOMESTIC BATTERY SIMPLE,TRUE,2535,23,,
THEFT,$500 AND UNDER,FALSE,533,54,,
BATTERY,SIMPLE,FALSE,1522,25,,
ROBBERY,STRONGARM - NO WEAPON,FALSE,112,32,,
NARCOTICS,FOUND SUSPECT NARCOTICS,TRUE,835,66,,
THEFT,RETAIL THEFT,FALSE,1722,15,,
ASSAULT,PRO EMP HANDS NO/MIN INJURY,FALSE,1213,24,,
THEFT,OVER $500,FALSE,2534,23,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,2511,19,,
BURGLARY,FORCIBLE ENTRY,FALSE,1622,11,,
BURGLARY,FORCIBLE ENTRY,FALSE,523,53,,
ROBBERY,STRONGARM - NO WEAPON,FALSE,2433,77,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,1031,30,,
OTHER OFFENSE,TELEPHONE THREAT,FALSE,1513,25,,
DECEPTIVE PRACTICE,FORGERY,FALSE,1732,16,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,1522,25,,
THEFT,$500 AND UNDER,FALSE,1712,13,,
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,FALSE,114,32,,
BATTERY,PRO EMP HANDS NO/MIN INJURY,FALSE,225,40,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,1924,6,,
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,FALSE,412,45,,
THEFT,OVER $500,FALSE,1513,25,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,2422,1,,
BURGLARY,FORCIBLE ENTRY,FALSE,422,46,,
ASSAULT,AGGRAVATED: HANDGUN,FALSE,825,66,,
BATTERY,DOMESTIC BATTERY SIMPLE,TRUE,314,42,,
ROBBERY,ARMED: HANDGUN,FALSE,1134,27,,
NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,TRUE,1113,26,,
BURGLARY,FORCIBLE ENTRY,FALSE,1031,30,,
BURGLARY,UNLAWFUL ENTRY,FALSE,1431,22,,
BURGLARY,FORCIBLE ENTRY,FALSE,2431,1,,
BURGLARY,UNLAWFUL ENTRY,FALSE,911,58,,
THEFT,OVER $500,FALSE,1234,31,,
THEFT,$500 AND UNDER,FALSE,922,58,,
BATTERY,SIMPLE,FALSE,921,58,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1112,23,,
THEFT,$500 AND UNDER,FALSE,122,32,,
BURGLARY,HOME INVASION,TRUE,725,67,,
INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,TRUE,712,68,,
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,FALSE,813,62,,
ASSAULT,AGGRAVATED: HANDGUN,FALSE,2012,4,,
SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,FALSE,831,66,,
CRIMINAL TRESPASS,TO VEHICLE,FALSE,432,52,,
THEFT,OVER $500,FALSE,2032,4,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,2523,21,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,815,62,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,122,32,,
BURGLARY,FORCIBLE ENTRY,FALSE,1723,16,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,931,61,,
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,FALSE,1622,11,,
DECEPTIVE PRACTICE,CREDIT CARD FRAUD,FALSE,511,49,,
THEFT,$500 AND UNDER,FALSE,1723,14,,
BURGLARY,FORCIBLE ENTRY,FALSE,321,42,,
THEFT,OVER $500,FALSE,123,32,,
OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,FALSE,1631,17,,
THEFT,OVER $500,FALSE,1134,27,,
SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,FALSE,912,59,,
ASSAULT,AGGRAVATED: HANDGUN,FALSE,1532,25,,
BATTERY,SIMPLE,FALSE,1522,25,,
CRIMINAL TRESPASS,TO STATE SUP LAND,FALSE,2011,4,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,823,66,,
BURGLARY,FORCIBLE ENTRY,FALSE,1724,16,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,1122,23,,
THEFT,ATTEMPT THEFT,FALSE,414,43,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,2533,19,,
THEFT,OVER $500,FALSE,1831,8,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,2422,1,,
ASSAULT,SIMPLE,FALSE,612,71,,
OTHER OFFENSE,TELEPHONE THREAT,FALSE,1225,28,,
BURGLARY,FORCIBLE ENTRY,FALSE,2431,1,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1522,25,,
CRIMINAL TRESPASS,TO VEHICLE,FALSE,1924,6,,
BURGLARY,FORCIBLE ENTRY,FALSE,921,58,,
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,FALSE,524,53,,
THEFT,$500 AND UNDER,FALSE,1235,31,,
THEFT,POCKET-PICKING,FALSE,623,44,,
BATTERY,SIMPLE,FALSE,2422,1,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,523,53,,
BURGLARY,FORCIBLE ENTRY,FALSE,413,48,,
BATTERY,SIMPLE,FALSE,1722,16,,
BATTERY,SIMPLE,FALSE,1823,8,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,422,46,,
BATTERY,DOMESTIC BATTERY SIMPLE,TRUE,2514,19,,
BURGLARY,FORCIBLE ENTRY,FALSE,313,42,,
BATTERY,SIMPLE,FALSE,1212,24,,
THEFT,$500 AND UNDER,FALSE,131,33,,
THEFT,$500 AND UNDER,FALSE,432,52,,
BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,FALSE,2431,1,,
BATTERY,DOMESTIC BATTERY SIMPLE,TRUE,1733,16,,
ARSON,ATTEMPT ARSON,FALSE,714,67,,
THEFT,$500 AND UNDER,FALSE,1624,15,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,724,68,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,1033,30,,
THEFT,FROM BUILDING,FALSE,911,58,,
BURGLARY,UNLAWFUL ENTRY,FALSE,2532,25,,
THEFT,$500 AND UNDER,FALSE,433,52,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,712,68,,
BURGLARY,UNLAWFUL ENTRY,FALSE,112,32,,
BATTERY,SIMPLE,FALSE,421,43,,
BATTERY,SIMPLE,FALSE,333,43,,
THEFT,OVER $500,FALSE,2531,25,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,732,68,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1122,26,,
THEFT,$500 AND UNDER,FALSE,1723,14,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,222,39,,
CRIM SEXUAL ASSAULT,NON-AGGRAVATED,FALSE,632,44,,
THEFT,$500 AND UNDER,FALSE,432,52,,
ROBBERY,STRONGARM - NO WEAPON,FALSE,1424,24,,
THEFT,FROM BUILDING,FALSE,1214,28,,
THEFT,ATTEMPT THEFT,FALSE,1733,16,,
BURGLARY,UNLAWFUL ENTRY,FALSE,1214,28,,
OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,FALSE,833,65,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,2413,2,,
THEFT,OVER $500,FALSE,621,71,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,1933,6,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1512,25,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,332,43,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,223,38,,
THEFT,$500 AND UNDER,FALSE,913,60,,
BATTERY,DOMESTIC BATTERY SIMPLE,TRUE,414,46,,
CRIM SEXUAL ASSAULT,NON-AGGRAVATED,FALSE,1811,7,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,524,53,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,2223,73,,
THEFT,OVER $500,FALSE,131,33,,
ASSAULT,SIMPLE,TRUE,1811,7,,
THEFT,$500 AND UNDER,FALSE,914,34,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,2533,25,,
BATTERY,SIMPLE,FALSE,212,35,,
BATTERY,AGGRAVATED: HANDGUN,FALSE,933,61,,
ASSAULT,SIMPLE,FALSE,725,67,,
BATTERY,AGGRAVATED PO: OTHER DANG WEAP,FALSE,333,43,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,915,60,,
BURGLARY,FORCIBLE ENTRY,FALSE,631,44,,
BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,FALSE,1022,29,,
ASSAULT,AGGRAVATED: OTHER DANG WEAPON,TRUE,624,44,,
BATTERY,DOMESTIC BATTERY SIMPLE,TRUE,2522,19,,
ROBBERY,ATTEMPT: ARMED-HANDGUN,FALSE,833,65,,
SEX OFFENSE,CRIMINAL SEXUAL ABUSE,FALSE,2534,23,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,1622,11,,
CRIMINAL DAMAGE,TO PROPERTY,TRUE,634,49,,
NARCOTICS,POSS: HEROIN(WHITE),TRUE,732,68,,
THEFT,$500 AND UNDER,FALSE,421,43,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,1021,29,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,911,58,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,522,49,,
THEFT,PURSE-SNATCHING,FALSE,813,65,,
THEFT,OVER $500,FALSE,2424,1,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,2011,4,,
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,FALSE,1512,25,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,633,44,,
THEFT,OVER $500,FALSE,2221,72,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,133,35,,
DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,FALSE,2433,77,,
DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,FALSE,1024,30,,
THEFT,$500 AND UNDER,FALSE,1223,28,,
THEFT,OVER $500,FALSE,424,46,,
THEFT,$500 AND UNDER,FALSE,1222,27,,
BATTERY,SIMPLE,TRUE,1822,8,,
ASSAULT,SIMPLE,FALSE,131,33,,
OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,FALSE,2521,19,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,2532,25,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,2523,21,,
ROBBERY,STRONGARM - NO WEAPON,FALSE,113,32,,
ASSAULT,SIMPLE,FALSE,1013,30,,
CRIMINAL TRESPASS,TO RESIDENCE,FALSE,614,71,,
PROSTITUTION,SOLICIT ON PUBLIC WAY,TRUE,1113,26,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,921,58,,
BURGLARY,FORCIBLE ENTRY,FALSE,2011,2,,
PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,TRUE,1013,30,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,1811,7,,
BATTERY,SIMPLE,FALSE,2412,2,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,914,60,,
BURGLARY,FORCIBLE ENTRY,FALSE,813,65,,
THEFT,$500 AND UNDER,FALSE,323,69,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,2523,21,,
THEFT,$500 AND UNDER,FALSE,1723,14,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,2514,19,,
NARCOTICS,POSS: CANNABIS 30GMS OR LESS,TRUE,1533,25,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,2411,2,,
BATTERY,DOMESTIC BATTERY SIMPLE,TRUE,614,71,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,822,62,,
MOTOR VEHICLE THEFT,AUTOMOBILE,TRUE,211,35,,
THEFT,OVER $500,FALSE,914,34,,
OTHER OFFENSE,PAROLE VIOLATION,TRUE,912,59,,
THEFT,OVER $500,FALSE,1622,11,,
BURGLARY,ATTEMPT FORCIBLE ENTRY,FALSE,1121,23,,
BATTERY,AGGRAVATED: OTHER DANG WEAPON,FALSE,1014,29,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,1423,24,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,2523,21,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,1224,28,,
CRIMINAL DAMAGE,TO PROPERTY,TRUE,825,66,,
CRIMINAL TRESPASS,TO LAND,TRUE,2033,3,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,133,35,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,1723,14,,
THEFT,$500 AND UNDER,FALSE,1214,24,,
ROBBERY,ARMED: HANDGUN,FALSE,1913,3,,
THEFT,$500 AND UNDER,FALSE,1922,6,,
BATTERY,SIMPLE,FALSE,734,67,,
ROBBERY,STRONGARM - NO WEAPON,FALSE,1114,26,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,2413,2,,
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,TRUE,334,43,,
THEFT,$500 AND UNDER,FALSE,1613,10,,
THEFT,$500 AND UNDER,FALSE,423,46,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,2424,1,,
BATTERY,SIMPLE,FALSE,725,67,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,1731,16,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,1135,27,,
ASSAULT,SIMPLE,FALSE,2413,2,,
THEFT,OVER $500,FALSE,723,68,,
THEFT,$500 AND UNDER,FALSE,133,35,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,833,65,,
THEFT,$500 AND UNDER,FALSE,1224,28,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,132,33,,
BATTERY,SIMPLE,FALSE,915,34,,
THEFT,$500 AND UNDER,FALSE,914,60,,
THEFT,RETAIL THEFT,TRUE,1915,3,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,931,61,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,913,60,,
ROBBERY,ARMED: HANDGUN,FALSE,524,53,,
THEFT,$500 AND UNDER,FALSE,1234,31,,
NARCOTICS,POSS: BARBITUATES,TRUE,634,49,,
DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,FALSE,221,39,,
THEFT,$500 AND UNDER,FALSE,332,43,,
BATTERY,DOMESTIC BATTERY SIMPLE,FALSE,2411,2,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,133,35,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,2433,77,,
THEFT,$500 AND UNDER,FALSE,211,35,,
ASSAULT,AGGRAVATED: HANDGUN,FALSE,1833,8,,
ROBBERY,ARMED: HANDGUN,FALSE,1913,3,,
MOTOR VEHICLE THEFT,AUTOMOBILE,FALSE,1622,11,,
CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,FALSE,833,65,,
OTHER OFFENSE,TELEPHONE THREAT,FALSE,1512,25,,
WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,TRUE,413,48,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,1432,22,,
THEFT,OVER $500,FALSE,1723,14,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,532,53,,
THEFT,$500 AND UNDER,FALSE,133,35,,
BURGLARY,FORCIBLE ENTRY,FALSE,812,64,,
THEFT,OVER $500,FALSE,1934,6,,
NARCOTICS,MANU/DELIVER: HEROIN (WHITE),TRUE,1115,26,,
OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,TRUE,825,66,,
CRIMINAL DAMAGE,TO VEHICLE,FALSE,2431,1,,
CRIMINAL DAMAGE,TO PROPERTY,FALSE,612,71,,
